hs6,code,grade,mapped,n_raw,n_uniq
742205,742205,RED,1,244,244
851402,851402,YELLOW,1,241,241
850603,850603,RED,1,240,240
851304,851304,YELLOW,0,0,0
851604,851604,RED,1,230,230
852002,852002,YELLOW,1,223,223
740504,740504,RED,1,209,209
741804,741804,RED,1,230,230
850304,850304,YELLOW,1,217,217
850905,850905,RED,1,210,210
740602,740602,YELLOW,1,225,225
850302,850302,YELLOW,1,221,221
852604,852604,YELLOW,1,217,217
852300,852300,YELLOW,1,219,219
742101,742101,YELLOW,1,238,238
851901,851901,YELLOW,1,211,211
852800,852800,RED,0,0,0
852101,852101,YELLOW,1,224,224
741805,741805,YELLOW,1,226,226
741605,741605,RED,1,215,215
852807,852807,RED,1,219,219
852304,852304,RED,1,223,223
742805,742805,YELLOW,1,240,240
852100,852100,RED,1,216,216
740700,740700,YELLOW,1,219,219
852000,852000,YELLOW,1,225,225
850103,850103,YELLOW,1,222,222
741600,741600,RED,0,0,0
850604,850604,YELLOW,0,0,0
740002,740002,YELLOW,1,225,225
742400,742400,RED,0,0,0
740300,740300,RED,0,0,0
740604,740604,RED,1,221,221
741601,741601,YELLOW,1,217,217
740003,740003,RED,1,225,225
850204,850204,RED,1,226,226
851600,851600,RED,1,228,228
742903,742903,RED,1,218,218
740503,740503,YELLOW,1,217,217
850403,850403,YELLOW,1,216,216
742203,742203,YELLOW,1,241,241
741604,741604,YELLOW,1,208,208
742503,742503,RED,1,231,231
740500,740500,YELLOW,1,210,210
742901,742901,YELLOW,1,228,228
741204,741204,YELLOW,1,240,240
851403,851403,YELLOW,1,230,230
852504,852504,RED,1,218,218
741705,741705,YELLOW,1,224,224
740805,740805,YELLOW,1,209,209
851404,851404,RED,1,226,226
852400,852400,YELLOW,1,217,217
850503,850503,RED,1,214,214
740102,740102,RED,1,240,240
852106,852106,YELLOW,1,216,216
742401,742401,YELLOW,1,224,224
850202,850202,YELLOW,1,218,218
741505,741505,YELLOW,1,226,226
741606,741606,RED,1,210,210
741400,741400,YELLOW,1,231,231
742300,742300,YELLOW,1,214,214
850105,850105,RED,1,223,223
851703,851703,YELLOW,1,217,217
741003,741003,YELLOW,1,222,222
740301,740301,RED,1,225,225
850904,850904,YELLOW,1,216,216
852104,852104,YELLOW,1,217,217
851200,851200,YELLOW,1,217,217
851406,851406,YELLOW,0,0,0
852603,852603,YELLOW,1,218,218
850601,850601,YELLOW,1,240,240
741801,741801,RED,1,228,228
740401,740401,YELLOW,1,221,221
851900,851900,YELLOW,1,214,214
742707,742707,YELLOW,1,216,216
740903,740903,YELLOW,1,227,227
852201,852201,YELLOW,1,216,216
742103,742103,YELLOW,1,230,230
850301,850301,YELLOW,1,225,225
742204,742204,YELLOW,1,226,226
