hs_code,hs_level,ksic_mid,confidence,source
7400,4,기타 기계 및 장비 제조업,0.9,통계청연계표
740000,6,기타 기계 및 장비 제조업,0.7,수작업
740001,6,기타 기계 및 장비 제조업,0.7,수작업
740002,6,기타 기계 및 장비 제조업,0.7,수작업
740003,6,기타 기계 및 장비 제조업,0.7,수작업
740004,6,기타 기계 및 장비 제조업,0.7,수작업
740005,6,기타 기계 및 장비 제조업,0.7,수작업
740006,6,기타 기계 및 장비 제조업,0.7,수작업
740007,6,기타 기계 및 장비 제조업,0.7,수작업
7401,4,전자부품·컴퓨터 제조업,0.9,통계청연계표
740100,6,전자부품·컴퓨터 제조업,0.7,수작업
740101,6,전자부품·컴퓨터 제조업,0.7,수작업
740102,6,전자부품·컴퓨터 제조업,0.7,수작업
7402,4,전자부품·컴퓨터 제조업,0.9,통계청연계표
740200,6,1차 금속 제조업,0.7,수작업
740202,6,전자부품·컴퓨터 제조업,0.7,수작업
740203,6,전자부품·컴퓨터 제조업,0.7,수작업
740204,6,전자부품·컴퓨터 제조업,0.7,수작업
740205,6,전자부품·컴퓨터 제조업,0.7,수작업
740206,6,전자부품·컴퓨터 제조업,0.7,수작업
7403,4,화학물질 및 화학제품 제조업,0.9,통계청연계표
740301,6,화학물질 및 화학제품 제조업,0.7,수작업
740302,6,화학물질 및 화학제품 제조업,0.7,수작업
740303,6,화학물질 및 화학제품 제조업,0.7,수작업
7404,4,금속가공제품 제조업,0.9,통계청연계표
740400,6,금속가공제품 제조업,0.7,수작업
740401,6,기타 기계 및 장비 제조업,0.7,수작업
740402,6,금속가공제품 제조업,0.7,수작업
740404,6,금속가공제품 제조업,0.7,수작업
740405,6,금속가공제품 제조업,0.7,수작업
740406,6,금속가공제품 제조업,0.7,수작업
7405,4,전기장비 제조업,0.9,통계청연계표
740500,6,전기장비 제조업,0.7,수작업
740501,6,화학물질 및 화학제품 제조업,0.7,수작업
740502,6,전기장비 제조업,0.7,수작업
740503,6,전기장비 제조업,0.7,수작업
740504,6,전기장비 제조업,0.7,수작업
7406,4,화학물질 및 화학제품 제조업,0.9,통계청연계표
740600,6,화학물질 및 화학제품 제조업,0.7,수작업
740601,6,화학물질 및 화학제품 제조업,0.7,수작업
740602,6,화학물질 및 화학제품 제조업,0.7,수작업
740603,6,화학물질 및 화학제품 제조업,0.7,수작업
740604,6,화학물질 및 화학제품 제조업,0.7,수작업
7407,4,전기장비 제조업,0.9,통계청연계표
740700,6,전기장비 제조업,0.7,수작업
740701,6,전자부품·컴퓨터 제조업,0.7,수작업
740702,6,전기장비 제조업,0.7,수작업
740703,6,전기장비 제조업,0.7,수작업
7408,4,전기장비 제조업,0.9,통계청연계표
740800,6,전자부품·컴퓨터 제조업,0.7,수작업
740801,6,전기장비 제조업,0.7,수작업
740803,6,전기장비 제조업,0.7,수작업
740804,6,전기장비 제조업,0.7,수작업
740805,6,전기장비 제조업,0.7,수작업
740806,6,전기장비 제조업,0.7,수작업
740807,6,전기장비 제조업,0.7,수작업
7409,4,1차 금속 제조업,0.9,통계청연계표
740900,6,1차 금속 제조업,0.7,수작업
740901,6,1차 금속 제조업,0.7,수작업
740903,6,1차 금속 제조업,0.7,수작업
740904,6,1차 금속 제조업,0.7,수작업
740905,6,1차 금속 제조업,0.7,수작업
7410,4,1차 금속 제조업,0.9,통계청연계표
741001,6,1차 금속 제조업,0.7,수작업
741002,6,기타 기계 및 장비 제조업,0.7,수작업
741003,6,1차 금속 제조업,0.7,수작업
741004,6,금속가공제품 제조업,0.7,수작업
7411,4,전기장비 제조업,0.9,통계청연계표
741100,6,전기장비 제조업,0.7,수작업
741101,6,전기장비 제조업,0.7,수작업
741102,6,1차 금속 제조업,0.7,수작업
741103,6,전기장비 제조업,0.7,수작업
741104,6,전기장비 제조업,0.7,수작업
741105,6,전기장비 제조업,0.7,수작업
7412,4,전자부품·컴퓨터 제조업,0.9,통계청연계표
741200,6,전자부품·컴퓨터 제조업,0.7,수작업
741201,6,기타 기계 및 장비 제조업,0.7,수작업
741202,6,전자부품·컴퓨터 제조업,0.7,수작업
741203,6,전자부품·컴퓨터 제조업,0.7,수작업
741204,6,전자부품·컴퓨터 제조업,0.7,수작업
741205,6,전자부품·컴퓨터 제조업,0.7,수작업
741206,6,전자부품·컴퓨터 제조업,0.7,수작업
741207,6,전자부품·컴퓨터 제조업,0.7,수작업
7413,4,전자부품·컴퓨터 제조업,0.9,통계청연계표
741300,6,전자부품·컴퓨터 제조업,0.7,수작업
741301,6,전자부품·컴퓨터 제조업,0.7,수작업
741302,6,전자부품·컴퓨터 제조업,0.7,수작업
741303,6,1차 금속 제조업,0.7,수작업
741304,6,전자부품·컴퓨터 제조업,0.7,수작업
7414,4,1차 금속 제조업,0.9,통계청연계표
741400,6,1차 금속 제조업,0.7,수작업
741403,6,1차 금속 제조업,0.7,수작업
741404,6,1차 금속 제조업,0.7,수작업
741405,6,1차 금속 제조업,0.7,수작업
741406,6,전자부품·컴퓨터 제조업,0.7,수작업
7415,4,전자부품·컴퓨터 제조업,0.9,통계청연계표
741501,6,전자부품·컴퓨터 제조업,0.7,수작업
741502,6,전자부품·컴퓨터 제조업,0.7,수작업
741503,6,전자부품·컴퓨터 제조업,0.7,수작업
741504,6,전자부품·컴퓨터 제조업,0.7,수작업
741505,6,전자부품·컴퓨터 제조업,0.7,수작업
7416,4,전기장비 제조업,0.9,통계청연계표
741601,6,전기장비 제조업,0.7,수작업
741602,6,전기장비 제조업,0.7,수작업
741603,6,전기장비 제조업,0.7,수작업
741604,6,전기장비 제조업,0.7,수작업
741605,6,금속가공제품 제조업,0.7,수작업
741606,6,전기장비 제조업,0.7,수작업
741607,6,전기장비 제조업,0.7,수작업
7417,4,화학물질 및 화학제품 제조업,0.9,통계청연계표
741700,6,화학물질 및 화학제품 제조업,0.7,수작업
741701,6,화학물질 및 화학제품 제조업,0.7,수작업
741702,6,화학물질 및 화학제품 제조업,0.7,수작업
741703,6,화학물질 및 화학제품 제조업,0.7,수작업
741704,6,화학물질 및 화학제품 제조업,0.7,수작업
741705,6,화학물질 및 화학제품 제조업,0.7,수작업
741706,6,화학물질 및 화학제품 제조업,0.7,수작업
741707,6,화학물질 및 화학제품 제조업,0.7,수작업
7418,4,전자부품·컴퓨터 제조업,0.9,통계청연계표
741801,6,전자부품·컴퓨터 제조업,0.7,수작업
741802,6,전자부품·컴퓨터 제조업,0.7,수작업
741803,6,전자부품·컴퓨터 제조업,0.7,수작업
741804,6,전자부품·컴퓨터 제조업,0.7,수작업
741805,6,전자부품·컴퓨터 제조업,0.7,수작업
7419,4,금속가공제품 제조업,0.9,통계청연계표
741900,6,금속가공제품 제조업,0.7,수작업
741901,6,금속가공제품 제조업,0.7,수작업
741902,6,금속가공제품 제조업,0.7,수작업
741903,6,금속가공제품 제조업,0.7,수작업
741904,6,금속가공제품 제조업,0.7,수작업
741905,6,금속가공제품 제조업,0.7,수작업
741906,6,금속가공제품 제조업,0.7,수작업
7420,4,금속가공제품 제조업,0.9,통계청연계표
742000,6,금속가공제품 제조업,0.7,수작업
742002,6,금속가공제품 제조업,0.7,수작업
742003,6,금속가공제품 제조업,0.7,수작업
742004,6,금속가공제품 제조업,0.7,수작업
742005,6,금속가공제품 제조업,0.7,수작업
7421,4,전자부품·컴퓨터 제조업,0.9,통계청연계표
742100,6,전자부품·컴퓨터 제조업,0.7,수작업
742101,6,전자부품·컴퓨터 제조업,0.7,수작업
742102,6,전자부품·컴퓨터 제조업,0.7,수작업
742103,6,전자부품·컴퓨터 제조업,0.7,수작업
742104,6,1차 금속 제조업,0.7,수작업
7422,4,전자부품·컴퓨터 제조업,0.9,통계청연계표
742200,6,1차 금속 제조업,0.7,수작업
