hs6,hs4,품목명,HHI,1위국,1위국비중,수입액합계,위험등급,비고,거래레코드수,신뢰도
240411,2404,"담배·재구성한 담배·니코틴이나 담배 대용물·니코틴 대용물을 함유한 물품(연소시키지 않고 흡입하도록 만들어진 것으로 한정한다), 니코틴을 함유한 그 밖의 물품으로 인체 내에 니코틴을 흡수시키도록 만들어진 것 (담배나 재구성한 담배를 함유한 것)",0.8600220157930376,인도네시아,0.9258417958311064,261940,RED,202606 단월 실측,90,정상
240491,2404,경구(經口)용,0.7242282588374467,스웨덴,0.835447882168023,974676,RED,202606 단월 실측,66,정상
240492,2404,피부 투여용,0.9996650313462924,독일,0.9998324914053182,2280480,RED,202606 단월 실적 0 -> 12개월 합산치로 대체계산,17,정상
260112,2601,적(赤)철광,0.6452723062654212,브라질,0.769546596816187,52538890,RED,202606 단월 실측,46,정상
270710,2707,벤조올(벤젠),0.906403580553102,인도네시아,0.9507790925459508,3787740,RED,202606 단월 실측,27,정상
270799,2707,솔벤트 나프타(solvent naphtha),0.5364457529269895,말레이시아,0.6997383088531349,4584794,RED,202606 단월 실측,100,정상
270791,2707,크레오소트(creosote)유,1.0,중국,1.0,3541,RED,202606 단월 실적 0 -> 12개월 합산치로 대체계산,1,저신뢰(소액/소건수)
270810,2708,피치(pitch),0.9829365578398416,중국,0.9913942194612394,72277,RED,202606 단월 실측,30,정상
283990,2839,규산지르코늄,0.2397639321614202,네덜란드,0.3100058088678421,735083,RED,202606 단월 실측,118,정상
291212,2912,에탄알(아세트알데히드),0.5315377958720383,미국,0.6255742725880551,1306,RED,202606 단월 실측,36,저신뢰(소액/소건수)
291732,2917,오르토프탈산 디-2-에틸헥실,0.5542383717832597,미국,0.7226277372262774,274,RED,202606 단월 실측,47,저신뢰(소액/소건수)
291736,2917,테레프탈산,0.9645926652801164,중국,0.9820751818088702,19526,RED,202606 단월 실측,68,저신뢰(소액/소건수)
291737,2917,테레프탈산디메틸,0.9228564821696976,네덜란드,0.9600614439324116,1302,RED,202606 단월 실측,28,저신뢰(소액/소건수)
300120,3001,간장 추출물,0.3776604045938781,중국,0.4661303576495213,1018567,RED,202606 단월 실측,69,정상
310430,3104,칼륨비료(광물성 비료나 화학비료로 한정한다) (산화칼륨으로 계산한 칼륨분의 함유량이 전 중량의 100분의 52 이하인 것),0.4625297137334849,대만,0.5069399664871136,1329041,RED,202606 단월 실측,70,정상
310490,3104,칼륨비료(광물성 비료나 화학비료로 한정한다) (산화칼륨으로 계산한 칼륨분의 함유량이 전 중량의 100분의 30 이하인 것),0.5253701266176659,캐나다,0.6126279863481229,5274,RED,202606 단월 실측,42,저신뢰(소액/소건수)
360490,3604,신호용 조명탄,0.5460034889589535,미국,0.6783975856697819,143808,RED,202606 단월 실측,35,정상
370310,3703,사진 인화지ㆍ판지ㆍ직물(감광성이 있고 노광하지 않은 것으로 한정한다) (롤 모양(폭이 610밀리미터를 초과하는 것으로 한정한다)),1.0,중국,1.0,31325,RED,202606 단월 실측,26,저신뢰(소액/소건수)
370390,3703,사진 인화지ㆍ판지ㆍ직물(감광성이 있고 노광하지 않은 것으로 한정한다) (기타),0.8760931131742686,미국,0.9348160520416684,22751,RED,202606 단월 실측,52,저신뢰(소액/소건수)
382561,3825,"따로 분류되지 않은 화학공업이나 연관공업에 따른 잔재물, 생활폐기물, 하수 찌꺼기, 이 류의 주 제6호의 그 밖의 폐기물 (주로 유기성분을 함유하는 것)",1.0,일본,1.0,63757,RED,202606 단월 실측,23,정상
382569,3825,"따로 분류되지 않은 화학공업이나 연관공업에 따른 잔재물, 생활폐기물, 하수 찌꺼기, 이 류의 주 제6호의 그 밖의 폐기물 (기타)",0.8285906606279205,필리핀,0.9053336037314946,49310,RED,202606 단월 실측,12,저신뢰(소액/소건수)
382541,3825,"따로 분류되지 않은 화학공업이나 연관공업에 따른 잔재물, 생활폐기물, 하수 찌꺼기, 이 류의 주 제6호의 그 밖의 폐기물 (할로겐을 함유하는 것)",1.0,싱가포르,1.0,87836,RED,202606 단월 실적 0 -> 12개월 합산치로 대체계산,4,정상
