hs4,품목명,수입액합계,수입국수,HHI,1위국,1위국코드,1위국비중,건당수입액,레코드수,위험등급
2841,산화금속산염·과산화금속산염 (배터리·화학 소재),1050737927.0,30,0.8941,중국,CN,0.9451,4104445,256,RED
7210,철강 평판압연제품 (도금·도포 강판),628454392.0,38,0.7851,중국,CN,0.8825,2407871,261,RED
7228,기타 합금강 봉 및 형강,271387736.0,28,0.6122,중국,CN,0.7676,907651,299,RED
7607,알루미늄 박 (배터리 동박/알루미늄박),260097499.0,42,0.7477,중국,CN,0.8626,956241,272,RED
7213,철/비합금강 선재,239602343.0,10,0.6242,중국,CN,0.7618,4061057,59,RED
2811,이산화규소,219624941.0,42,0.5391,중국,CN,0.7179,595190,369,RED
2849,탄화물 (탄화텅스텐·탄화실리콘 등),179350672.0,22,0.7438,중국,CN,0.86,1390315,129,RED
2926,니트릴관능화합물 (아크릴로니트릴 등),174127186.0,23,0.5963,중국,CN,0.7542,1176535,148,RED
7209,철/비합금강 냉간압연 평판제품,165767654.0,18,0.8515,중국,CN,0.9198,1381397,120,RED
6802,가공용 석재 (대리석·설화석고 등),158165320.0,39,0.8094,중국,CN,0.8988,465192,340,RED
