hs4,품목명,수입액합계,수입국수,HHI,1위국,1위국코드,1위국비중,건당수입액,레코드수,위험등급
2511,천연 황산바륨[중정석(重晶石)],4384479.0,12,0.9889,중국,CN,0.9944,230762,19,RED
2704,"코크스와 반성(半成) 코크스(석탄ㆍ갈탄ㆍ토탄으로 제조한 것으로 한정하며, 응결시킨 것인지에 상관없다), 레토르트 카본(retort carbon)",67695122.0,6,0.986,중국,CN,0.993,3760840,18,RED
3807,"목(木)타르, 목(木)타르유, 목(木)크레오소트(creosote), 목(木)나프타, 식물성 피치(pitch), 브루어피치(brewers' pitch)와 이와 유사한 조제품[로진(rosin)ㆍ수지산이나 식물성 피치(pitch)를 기본 재료로 한 것으로 한정한다]",1336718.0,3,0.9813,중국,CN,0.9906,95480,14,RED
3827,기타,50861322.0,12,0.9641,중국,CN,0.9818,598368,85,RED
2404,기타,126070326.0,29,0.9048,중국,CN,0.9509,692694,182,RED
2813,기타,2618494.0,5,0.9032,일본,JP,0.9501,90293,29,RED
7907,아연으로 만든 그 밖의 제품,22066169.0,37,0.9013,중국,CN,0.9491,164673,134,RED
2503,황[승화황(昇華黃)ㆍ침강황(沈降黃)ㆍ콜로이드황은 제외한다],2442453.0,9,0.8977,일본,JP,0.9471,143674,17,RED
2841,기타,1050737927.0,30,0.8941,중국,CN,0.9451,4104445,256,RED
6910,자기제의 것,62491140.0,28,0.884,중국,CN,0.9397,452834,138,RED
7007,차량ㆍ항공기ㆍ우주선ㆍ선박에 사용하기 적합한 크기와 모양인 것,142374320.0,48,0.8534,중국,CN,0.9234,350676,406,RED
7209,두께가 1밀리미터 초과 3밀리미터 미만인 것,165767654.0,18,0.8515,중국,CN,0.9198,1381397,120,RED
8111,망간과 그 제품[웨이스트(waste)와 스크랩(scrap)을 포함한다],155376023.0,10,0.8504,중국,CN,0.9197,3237000,48,RED
7003,기타,6435237.0,8,0.8459,중국,CN,0.9186,189272,34,RED
