hs6,hs4,group,name_kr,name_kr_hs4
240411,2404,사각지대(수집필요),"담배·재구성한 담배·니코틴이나 담배 대용물·니코틴 대용물을 함유한 물품(연소시키지 않고 흡입하도록 만들어진 것으로 한정한다), 니코틴을 함유한 그 밖의 물품으로 인체 내에 니코틴을 흡수시키도록 만들어진 것","담배·재구성한 담배·니코틴이나 담배 대용물·니코틴 대용물을 함유한 물품(연소시키지 않고 흡입하도록 만들어진 것으로 한정한다), 니코틴을 함유한 그 밖의 물품으로 인체 내에 니코틴을 흡수시키도록 만들어진 것"
240412,2404,기존379(수집완료),기타(니코틴을 함유한 것으로 한정한다),"담배·재구성한 담배·니코틴이나 담배 대용물·니코틴 대용물을 함유한 물품(연소시키지 않고 흡입하도록 만들어진 것으로 한정한다), 니코틴을 함유한 그 밖의 물품으로 인체 내에 니코틴을 흡수시키도록 만들어진 것"
240419,2404,사각지대(수집필요),기타,"담배·재구성한 담배·니코틴이나 담배 대용물·니코틴 대용물을 함유한 물품(연소시키지 않고 흡입하도록 만들어진 것으로 한정한다), 니코틴을 함유한 그 밖의 물품으로 인체 내에 니코틴을 흡수시키도록 만들어진 것"
240491,2404,사각지대(수집필요),"담배·재구성한 담배·니코틴이나 담배 대용물·니코틴 대용물을 함유한 물품(연소시키지 않고 흡입하도록 만들어진 것으로 한정한다), 니코틴을 함유한 그 밖의 물품으로 인체 내에 니코틴을 흡수시키도록 만들어진 것","담배·재구성한 담배·니코틴이나 담배 대용물·니코틴 대용물을 함유한 물품(연소시키지 않고 흡입하도록 만들어진 것으로 한정한다), 니코틴을 함유한 그 밖의 물품으로 인체 내에 니코틴을 흡수시키도록 만들어진 것"
240492,2404,사각지대(수집필요),"담배·재구성한 담배·니코틴이나 담배 대용물·니코틴 대용물을 함유한 물품(연소시키지 않고 흡입하도록 만들어진 것으로 한정한다), 니코틴을 함유한 그 밖의 물품으로 인체 내에 니코틴을 흡수시키도록 만들어진 것","담배·재구성한 담배·니코틴이나 담배 대용물·니코틴 대용물을 함유한 물품(연소시키지 않고 흡입하도록 만들어진 것으로 한정한다), 니코틴을 함유한 그 밖의 물품으로 인체 내에 니코틴을 흡수시키도록 만들어진 것"
240499,2404,사각지대(수집필요),"담배·재구성한 담배·니코틴이나 담배 대용물·니코틴 대용물을 함유한 물품(연소시키지 않고 흡입하도록 만들어진 것으로 한정한다), 니코틴을 함유한 그 밖의 물품으로 인체 내에 니코틴을 흡수시키도록 만들어진 것","담배·재구성한 담배·니코틴이나 담배 대용물·니코틴 대용물을 함유한 물품(연소시키지 않고 흡입하도록 만들어진 것으로 한정한다), 니코틴을 함유한 그 밖의 물품으로 인체 내에 니코틴을 흡수시키도록 만들어진 것"
250100,2501,기존379(수집완료),"소금(식탁염과 변성염을 포함한다), 순염화나트륨[수용액(水溶液)인지 또는 고결(固結)방지제나 유동제를 첨가한 것인지에 상관없다]과 바닷물","소금(식탁염과 변성염을 포함한다), 순염화나트륨[수용액(水溶液)인지 또는 고결(固結)방지제나 유동제를 첨가한 것인지에 상관없다]과 바닷물"
250300,2503,기존379(수집완료),황[승화황(昇華黃)ㆍ침강황(沈降黃)ㆍ콜로이드황은 제외한다],황[승화황(昇華黃)ㆍ침강황(沈降黃)ㆍ콜로이드황은 제외한다]
250510,2505,52HS4(수집완료),천연 모래(착색된 것인지에 상관없으며 제26류의 금속을 함유하는 모래는 제외한다),천연 모래(착색된 것인지에 상관없으며 제26류의 금속을 함유하는 모래는 제외한다)
250590,2505,52HS4(수집완료),기타,천연 모래(착색된 것인지에 상관없으며 제26류의 금속을 함유하는 모래는 제외한다)
