id,재북_직업_카테고리,재북_직업_설명,역량_태그,NCS_대분류,NCS_중분류_예시,남한_추천직무_KECO,2025_참고_취업률(%),신뢰도(예시)
1,협동농장 관리원,협동농장의 작업 배분·인력 조직·생산계획을 총괄,자원배분;인력조직;생산계획관리,농림어업,농산물유통관리,농림어업직,49.9,중
2,협동농장 관리원,(대안2) 조직관리 역량 중심,조직관리;성과관리;대인역량,경영·회계·사무,생산관리,경영·행정·사무직,51.0,중
3,공장 작업반장,생산라인 인력 배치 및 작업 진도 관리,생산관리;품질관리;조직관리,기계,생산설비관리,기계 설치·정비·생산직,64.7,상
4,협동농장원(일반 농장원),농작업 실무 수행,현장실무;체력;협업,농림어업,작물재배,농림어업직,49.9,중
5,공장 노동자(경공업),방직·의류 등 경공업 생산라인 근무,생산실무;정밀작업;반복작업숙련,섬유의복,생산공정관리,섬유·의복 생산직,41.2,중
6,공장 노동자(중공업/금속),금속가공·기계조립 라인 근무,정밀가공;용접;설비조작,재료,금속재료가공,금속·재료 설치·정비·생산직,64.1,상
7,식료품 가공 노동자,식품 생산·가공 공정 근무,위생관리;공정관리;품질관리,식품가공,식품생산관리,식품 가공·생산직,45.7,중
8,교육자(교원),학교에서 학생 교육 및 생활지도,교수설계;생활지도;커뮤니케이션,교육·자연·사회과학,교육프로그램운영,교육직,33.7,중
9,의료인(의사·간호원),진료·간호 등 보건의료 업무 수행,전문지식;환자관리;위생관리,보건·의료,보건의료서비스,보건·의료직,76.4,최상
10,과학기술인(기술자),산업현장의 기술직무 수행,기술분석;문제해결;현장적용,정보통신 또는 기계(세부직종에 따라 상이),기술지원,정보통신 연구개발직 및 공학기술직,50.4,중
11,예술인(무용수·연주자 등),공연·예술활동 종사,표현력;공연기획;대인역량,문화·예술·디자인·방송,공연예술기획,예술·디자인·방송직,49.0,중
12,체육인(운동선수·지도원),체육 지도 및 훈련 지도 업무,체력관리;지도역량;조직관리,이용·숙박·여행·오락·스포츠,스포츠지도,스포츠·레크리에이션직,37.7,낮음
13,상업 종사자(장마당 상인 등),소규모 상거래 및 판매 실무,협상력;고객응대;재고관리,영업판매,매장관리,영업·판매직,44.2,중
14,사무원(행정 보조),행정 문서작성 및 사무보조 업무,문서작성;행정처리;커뮤니케이션,경영·회계·사무,일반사무,경영·행정·사무직,51.0,중
15,운전원(운수 종사자),차량 운행 및 물류 이동 업무,운행관리;안전관리;물류이해,운전운송,화물운송관리,운전·운송직,58.6,상
16,건설 노동자,건축·토목 현장 실무 종사,현장시공;안전관리;체력,건설,건설시공관리,건설·채굴직,50.3,중
17,보육/가사 담당자,아동 돌봄 및 가사 지원 업무,돌봄역량;생활지원;책임감,사회복지·종교,돌봄서비스기획,돌봄 서비스직(간병·육아),63.0,상
18,군인(직업군인 복무 이력),조직관리 및 임무수행 경험 보유,조직관리;위기대응;책임감,경비·청소,보안관리,경호·경비직,51.5,중
19,무직/부양가족(경력공백),재북 시절 정규 직업력 없음,생활역량;적응력,경영·회계·사무 또는 서비스 전반,기초직무훈련 연계,청소 및 기타 개인서비스직,40.0,낮음
20,학생(재북 재학 이력),학업 이수 이력만 존재,학습역량;기초소양,교육 또는 희망분야에 따라 상이,진로설계 상담 연계,경영·행정·사무직,51.0,낮음
